benchmark,satire-noAbs,satire-10_20,satire-15_25,satire-20_40,gappa-abs,gappa-rel,numfuzz,numfuzz-factor,fptaylor-rel,fptaylor-abs,gappa-abs-memory-kb,gappa-rel-memory-kb,numfuzz-memory-kb,numfuzz-factor-memory-kb,fptaylor-memory-kb,gappa-abs-status,gappa-rel-status,numfuzz-status,numfuzz-factor-status,fptaylor-status,satire-noAbs-status,satire-10_20-status,satire-15_25-status,satire-20_40-status
add-assoc,,,,,0.019979017680000002,0.02020337784,0.0013075805000000002,0.001222608,0.18261054148,5.8106302379,5508.0,7092.0,3152.0,3188.0,198112.0,failed,failed,failed,failed,failed,success,success,success,success
delta4,,,,,0.22133590504000003,,0.0019378995,0.0035392415,1.11720587088,0.5110050796,18568.0,17776.0,3184.0,3120.0,24972.0,failed,failed,failed,failed,failed,success,success,success,success
himmilbeau,,,,,0.05215270326,,0.001452806,0.0018180635000000001,0.02348553172,0.022943682640000004,7764.0,9316.0,3172.0,3196.0,6964.0,failed,failed,failed,failed,failed,success,success,success,success
kepler0,,,,,0.16983168606,,,0.0029169465,2.37655310016,15.15947484934,16300.0,16244.0,3136.0,3116.0,146176.0,failed,failed,failed,failed,failed,success,success,success,success
kepler1,,,,,0.377224567,,0.0030477100000000003,0.009960148000000002,0.24746229306,12.353412362579999,24672.0,23920.0,3228.0,3108.0,206212.0,failed,failed,failed,failed,failed,success,success,success,success
large/horner/Horner1024,,80.45734667778015,84.65891098976135,102.07062888145447,384.44796530355995,,2.2849407875,,,,447232.0,445264.0,309388.0,,,failed,failed,failed,success,timeout,timeout,success,success,success
large/horner/Horner128,,7.647645473480225,9.066820859909058,12.218213558197021,5.08421650396,,0.03602543850000001,,,69.99273692678,51568.0,52420.0,8592.0,,3187124.0,failed,failed,failed,success,failed,timeout,success,success,success
large/horner/Horner16,3.3909645080566406,0.9705595970153809,1.1500554084777832,3.4746906757354736,0.105250441,,0.002165868,,42.90572889538,9.41860272092,10116.0,10172.0,3236.0,,461304.0,failed,failed,failed,success,failed,failed,success,success,success
large/horner/Horner2,,,,,0.0068965597,,0.001970411,,0.25301166306,0.25245914090000005,,,,,,success,failed,success,success,success,success,success,success,success
large/horner/Horner2048,,263.1988606452942,239.474693775177,253.9723870754242,,,10.425153155,,,,1020084.0,1020128.0,1219456.0,,66306440.0,failed,failed,failed,success,failed,timeout,timeout,timeout,success
large/horner/Horner256,,16.24193787574768,18.381806135177612,22.975828170776367,19.67872445698,,0.1322169685,,,216.24158146764,101488.0,102260.0,23952.0,,,failed,failed,failed,success,timeout,timeout,success,success,success
large/horner/Horner32,44.86597943305969,1.9405970573425293,2.2546494007110596,2.954824686050415,0.36672024376,,0.0042313745,,113.02945953806,20.63265962194,16304.0,16288.0,3284.0,,997256.0,failed,failed,failed,success,failed,failed,success,success,success
large/horner/Horner4,0.19809532165527344,0.25786566734313965,0.18375062942504883,0.19675660133361816,0.01181709854,,0.001270005,,0.19990550398,0.18709340842,6280.0,6296.0,3152.0,,24180.0,failed,failed,failed,failed,failed,failed,failed,failed,failed
large/horner/Horner512,,32.300105810165405,37.3598747253418,46.8374879360199,80.30799430284,,0.5189798165000001,,,444.42073394195995,208244.0,208260.0,81880.0,,23958020.0,failed,failed,failed,success,failed,timeout,success,success,success
large/horner/Horner64,692.6698882579803,3.7711501121520996,4.480436086654663,5.867189884185791,1.35284630018,,0.011321547000000001,,372.53810332855994,36.85248844342,26988.0,27000.0,4692.0,,1848824.0,failed,failed,failed,success,failed,timeout,success,success,success
large/horner/Horner8,0.48360109329223633,0.5595841407775879,0.5324211120605469,0.5646951198577881,0.03301693034,,0.0016251235000000002,,17.46650979696,0.73526082402,7828.0,7008.0,3212.0,,266400.0,failed,failed,failed,success,failed,failed,success,success,success
large/matmul/matmul128,,,,,,,,410.782167857,,,121452.0,121456.0,,14201236.0,1087200.0,failed,failed,failed,failed,failed,timeout,timeout,timeout,timeout
large/matmul/matmul16,1.1840403079986572,1.1758384704589844,1.2212631702423096,1.2401022911071777,,,,0.0777368035,,,5552.0,5456.0,,10140.0,7740.0,failed,failed,success,failed,failed,failed,success,success,success
large/matmul/matmul32,7.577357530593872,6.173972129821777,6.546143531799316,7.5974249839782715,,,,1.010294274,,,11660.0,11720.0,,80676.0,23228.0,failed,failed,success,failed,failed,timeout,timeout,timeout,timeout
large/matmul/matmul4,0.07589864730834961,0.07695913314819336,0.08032751083374023,0.08947157859802246,1.37896934786,,,0.0024025685,10.1434223167,0.8814749416200001,32376.0,33248.0,,3200.0,304904.0,failed,failed,success,failed,failed,failed,success,success,success
large/matmul/matmul64,62.1623957157135,47.03716969490051,45.51652431488037,45.56882381439209,,,,16.9118643855,,,33132.0,33148.0,,998792.0,139260.0,failed,failed,failed,failed,failed,timeout,timeout,timeout,timeout
large/matmul/matmul8,0.18635869026184082,0.18429780006408691,0.18700432777404785,0.17570281028747559,144.94410790004002,,,0.009571009,15.815295801920001,7.61413013972,409508.0,409492.0,,3944.0,557200.0,failed,failed,success,failed,failed,failed,success,success,success
